"","ID","Sessio","jarkyttynyt","valpas","peloissaan","surullinen","inspiroitunut","vihamielinen","paattavainen","liikuttunut","hapeissaan","tarkkaavainen","hermostunut","aktiivinen","rentoutunut","ahdistunut","Condition","pos","neg","Empathy","sad","anxious","relaxed","moved","pleasantness"
"92","50040",2,1,2,1,2,1,1,1,2,1,2,3,1,5,2,"Music",2,1.57142857142857,"HIGH",35.8490566037736,23.5849056603774,85.8490566037736,29.2452830188679,82.0754716981132
"93","50040",3,1,3,1,1,1,1,2,1,2,3,3,3,3,2,"Silence",2.28571428571429,1.57142857142857,"HIGH",35.8490566037736,23.5849056603774,85.8490566037736,29.2452830188679,82.0754716981132
"94","50041",1,1,3,1,1,3,1,1,1,1,4,2,1,4,1,"Baseline",2.42857142857143,1.14285714285714,"HIGH",26,19,82,69,100
"95","50041",2,1,2,1,2,5,1,2,4,1,1,1,2,5,1,"Music",3,1.14285714285714,"HIGH",26,19,82,69,100
"96","50041",3,1,3,1,1,3,1,1,1,1,3,1,2,4,1,"Silence",2.42857142857143,1,"HIGH",26,19,82,69,100
"97","50042",1,1,2,1,1,2,1,3,1,1,2,1,2,3,1,"Baseline",2.14285714285714,1,"HIGH",60,23,68,59,63
"98","50042",2,1,2,1,2,2,1,2,2,1,2,1,1,4,1,"Music",2.14285714285714,1.14285714285714,"HIGH",60,23,68,59,63
"99","50042",3,1,2,1,1,2,1,2,1,1,2,1,2,3,1,"Silence",2,1,"HIGH",60,23,68,59,63
"100","50043",1,1,3,1,1,2,1,2,1,1,3,1,3,4,1,"Baseline",2.57142857142857,1,"HIGH",24,6,50,65,78
"101","50043",2,1,4,1,2,5,1,4,2,1,4,1,5,3,1,"Music",3.85714285714286,1.14285714285714,"HIGH",24,6,50,65,78
"102","50043",3,1,2,1,1,1,1,2,1,1,2,1,2,5,1,"Silence",2.14285714285714,1,"HIGH",24,6,50,65,78
"103","50044",1,1,2,1,1,3,1,4,1,1,2,1,2,4,1,"Baseline",2.57142857142857,1,"HIGH",34,22,81,35,95
"104","50044",2,2,2,1,1,2,1,2,2,1,2,1,1,4,1,"Music",2.14285714285714,1.14285714285714,"HIGH",34,22,81,35,95
"105","50044",3,1,3,1,1,2,1,2,1,1,3,1,2,3,1,"Silence",2.28571428571429,1,"HIGH",34,22,81,35,95
"106","50045",1,1,4,1,1,3,1,2,2,1,4,3,2,3,2,"Baseline",2.85714285714286,1.42857142857143,"LOW",47,76,48,70,66
"107","50045",2,1,3,1,2,3,2,3,2,3,2,3,1,2,2,"Music",2.28571428571429,2,"LOW",47,76,48,70,66
"108","50045",3,1,4,1,1,4,2,3,2,1,4,4,3,1,3,"Silence",3,1.85714285714286,"LOW",47,76,48,70,66
"109","50046",1,1,2,1,1,3,1,2,1,1,2,1,2,3,1,"Baseline",2.14285714285714,1,"HIGH",83,80,70,85,83
"110","50046",2,1,1,1,3,1,2,1,3,1,1,2,1,4,3,"Music",1.71428571428571,1.85714285714286,"HIGH",83,80,70,85,83
